Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000543863853506091,0.282716810863512,-0.36138635137112,0,0,0,29.2907917401275,0.658416147229005,0.000444325594903029,-5.22965035739952E-05,0.481294666894637,0.000150147215019541,0.989603236439599,0,0,0,0,0,0,package://新松小车/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://新松小车/meshes/base_link.STL,,X3-B-GCR10-1-1/X3拓展外观-1-1;X3-B-GCR10-1-1/急停组合-60-2-1/测试-IGES-OUTSIDE-XA1E-BV4U02TR.0-1-1;X3-B-GCR10-1-1/急停组合-60-2-1/急停标贴纸-1-1;C2B22004A.0000004V0(默认)-1-1;dizuo-1/1A092.0100000-4-1;X3-B-GCR10-1-1/加工件焊接架-1-1;C2B22004A.0000004V0(默认)-1-2;1A090.0200102V0.(默认)-1-1;X3-B-GCR10-1-1/GCR10_外发_可移动-1-1/底座-1-1/圆板-底座-1-1;X3-B-GCR10-1-1/示教器数模-2021-3个-1-1;X3-B-GCR10-1-1/急停组合-60-3-1/测试-IGES-OUTSIDE-XA1E-BV4U02TR.0-1-1;X3-B-GCR10-1-1/急停组合-60-3-1/急停标贴纸-1-1,basic_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1_Link,-8.14202632020283E-05,0.00610304740119338,-0.0161440698140209,0,0,0,0.0728108307863773,2.279226907759E-05,-1.52431962880911E-07,-1.17033639983441E-07,2.43402166733781E-05,1.19958125852891E-06,3.97943793169979E-05,0,0,0,0,0,0,package://新松小车/meshes/1_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://新松小车/meshes/1_Link.STL,,left_front_wheel-1,left_front_vertical_axis,left_front_vertical,1-joint,revolute,-0.194,0.59539,-0.604,0,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
1-1_Link,1.54128708518275E-07,-6.35365208223604E-07,-2.08668753956531E-07,0,0,0,0.126066263473178,3.69211700768695E-05,1.59275080958781E-11,-4.07947748521245E-10,3.69211197129469E-05,1.49202086216788E-09,6.47847031089787E-05,0,0,0,0,0,0,package://新松小车/meshes/1-1_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://新松小车/meshes/1-1_Link.STL,,LUN1-1-1,left_front_wheel_axis,left_front_wheel,1-1_joint,revolute,-0.0019416,0.019905,-0.0435,1.5708,0,-1.4736,1_Link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
2_Link,-0.000336543565982339,0.0067145336674802,-0.0138488838342261,0,0,0,0.0773960442571589,2.79271956658027E-05,-2.09328673275462E-07,-1.86296961191266E-07,2.93597569308493E-05,-2.80412358155225E-08,4.69036460817845E-05,0,0,0,0,0,0,package://新松小车/meshes/2_Link.STL,0.854901960784314,0.854901960784314,0.854901960784314,1,0,0,0,0,0,0,package://新松小车/meshes/2_Link.STL,,right_front_wheel-1,right_front_vertical_axis,right_front_vertical,2-joint,revolute,0.194,0.59535,-0.6056,0,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
2-1_Link,8.63289463803874E-08,-6.61745890639942E-07,2.14074135862496E-07,0,0,0,0.126066298764299,3.69211742911089E-05,3.29619978086518E-12,1.35062822981863E-10,3.6921114726363E-05,-1.54062454753047E-09,6.47847019668671E-05,0,0,0,0,0,0,package://新松小车/meshes/2-1_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://新松小车/meshes/2-1_Link.STL,,LUN1-1-5,right_front_wheel_axis,right_front_wheel,2-1_joint,revolute,-0.0028411,0.022783,-0.042013,1.5807,0.069104,-1.4279,2_Link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
3_Link,-6.93889390390723E-18,0,0.00168998379535312,0,0,0,0.418358558488212,0.000915617766712358,3.32582077666032E-20,1.88985288748301E-20,0.000915617766712358,-8.76135733408917E-21,0.00170660288564837,0,0,0,0,0,0,package://新松小车/meshes/3_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://新松小车/meshes/3_Link.STL,,dizuo-1/1A092.0100000sadfasdfsdf2haolun-2,left_axis,left,3_joint,revolute,-0.2595,0.2765,-0.605,1.5708,0,-1.5708,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
4_Link,6.12704331715008E-15,-4.79616346638068E-14,0.00282199284179585,0,0,0,0.250538971616596,0.000465816741663599,5.65058656963556E-20,3.31873042587156E-19,0.000465816741663599,-1.71216168600813E-20,0.000863128969172632,0,0,0,0,0,0,package://新松小车/meshes/4_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://新松小车/meshes/4_Link.STL,,1A092.0100000sadfasdfsdf-1,right_axis,right,4_joint,revolute,0.2595,0.27512,-0.61343,1.5708,0,1.5708,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
5_Link,0.00103770002703207,0.00601472892484933,-0.0161440697345775,0,0,0,0.0728108309256295,2.27892988966431E-05,1.36495284501299E-07,1.04643060411549E-07,2.43431854614664E-05,1.20072630984208E-06,3.97943785025612E-05,0,0,0,0,0,0,package://新松小车/meshes/5_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://新松小车/meshes/5_Link.STL,,left_rear_wheel-1,left_rear_vertical_axis,left_rear_vertical,5_joint,revolute,-0.18,-0.0885,-0.604,0,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
5-1_Link,-2.5138800996416E-07,6.19546932312254E-07,1.74490358807733E-07,0,0,0,0.126066317340043,3.71313849029771E-05,-1.09124836455106E-10,-2.41105892440028E-06,3.69211204624104E-05,1.45526694390849E-09,6.45744854056141E-05,0,0,0,0,0,0,package://新松小车/meshes/5-1_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://新松小车/meshes/5-1_Link.STL,,LUN1-1-3,left_rear_wheel_axis,left_rear_wheel,5-1_joint,revolute,0.0017368,0.019924,-0.0435,1.5708,0,-1.5708,5_Link,0,0,1,0,0,-3.14,3.14,,,,,,,,
6_Link,0.000273986900293122,0.00609743706279098,-0.0161440693104884,0,0,0,0.0728108291695974,2.27797981840266E-05,-6.14434156285646E-08,-4.70056384567012E-08,2.43526875822419E-05,1.20436001342095E-06,3.97943792246835E-05,0,0,0,0,0,0,package://新松小车/meshes/6_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://新松小车/meshes/6_Link.STL,,right_rear_wheel-1,right_rear_vertical_axis,right_rear_vertical,6-joint,revolute,0.18,-0.0885,-0.604,0,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
